donor_id,in_study,model_score,diff_efficiency
HPSI0614i-liqa_6,not_assessed,0.965708428,NA
HPSI0614i-lirf_5,failed,0.132054668,0.060419236
HPSI0614i-lirf_6,not_assessed,0.100327224,NA
HPSI0614i-mesr_4,not_assessed,0.0005256,NA
HPSI0614i-miaj_4,failed,0.002789315,0.045362221
HPSI0614i-miaj_6,not_assessed,0.982313017,NA
HPSI0614i-oicx_2,succeeded,0.932262405,0.364285714
HPSI0614i-oicx_6,not_assessed,0.949588038,NA
HPSI0614i-paab_3,failed,0.081917953,0
HPSI0614i-paab_4,not_assessed,0.748642766,NA
HPSI0614i-puhk_2,failed,4.03E-05,0.043523859
HPSI0614i-puhk_5,not_assessed,0.557329395,NA
HPSI0614i-qunz_2,succeeded,0.985872536,0.461988304
HPSI0614i-qunz_3,not_assessed,0.992624545,NA
HPSI0614i-uevq_4,not_assessed,0.412423677,NA
HPSI0614i-uevq_6,failed,0.088164842,0.054662379
HPSI0614i-uilk_2,not_assessed,0.872932081,NA
HPSI0614i-voce_1,failed,0.055864126,0.134
HPSI0614i-voce_2,not_assessed,6.91E-05,NA
HPSI0614i-voxu_1,not_assessed,0.723864171,NA
HPSI0614i-voxu_2,not_assessed,0.115093743,NA
HPSI0614i-wihj_4,succeeded,0.989666097,0.723308271
HPSI0614i-xubw_1,not_assessed,0.967344901,NA
HPSI0614i-xubw_3,not_assessed,0.980823945,NA
HPSI0614i-zoio_1,not_assessed,0.992925839,NA
HPSI0614i-zoio_2,not_assessed,0.967759923,NA
